Date,Price,Final_Verdict,Market_Reality,Correct,Weighted_Score,CE_Article_Count,CE_Sentiment,CE_Mean_Score,CE_Sentiment_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Signal,TTS_Explanation,SIV_Signal,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
07/27/2023,0.3922,HOLD,BEARISH,False,-0.0777,14.0,NEUTRAL,0.7049,-0.0484,LOW,pending_explanation,-0.1942,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.0777 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.2987
07/28/2023,0.3889,HOLD,BEARISH,False,-0.1273,38.0,NEUTRAL,0.7177,-0.0451,HIGH,pending_explanation,-0.3182,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.1273 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,1.7891
07/31/2023,0.3858,SELL,BULLISH,False,-0.7401,31.0,BEARISH,0.8024,-0.1189,HIGH,pending_explanation,-0.3502,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7401 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,1.2286
08/01/2023,0.383,SELL,BULLISH,False,-0.15,12.0,NEUTRAL,0.8606,0.0031,LOW,pending_explanation,-0.375,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.15 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.521
08/02/2023,0.3844,SELL,BULLISH,False,-0.7424,19.0,BEARISH,0.8375,-0.392,MODERATE,pending_explanation,-0.3559,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7424 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.476
08/03/2023,0.3891,SELL,BULLISH,False,-0.7203,11.0,BEARISH,0.8025,-0.3712,LOW,pending_explanation,-0.3008,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7203 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.281
08/04/2023,0.3927,HOLD,BEARISH,False,-0.0747,21.0,NEUTRAL,0.7907,-0.0153,MODERATE,pending_explanation,-0.1867,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.0747 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.3603
08/07/2023,0.3941,BUY,BEARISH,False,0.5287,9.0,BULLISH,0.7362,0.0908,LOW,pending_explanation,-0.1782,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.5287 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2345
08/08/2023,0.3935,SELL,BEARISH,True,-0.6732,20.0,BEARISH,0.8211,-0.0529,MODERATE,pending_explanation,-0.1831,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.6732 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3802
08/09/2023,0.3918,SELL,BEARISH,True,-0.6788,9.0,BEARISH,0.7866,-0.2628,LOW,pending_explanation,-0.1971,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.6788 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2203
