Date,Price,Final_Verdict,Market_Reality,Correct,Weighted_Score,CE_Article_Count,CE_Sentiment,CE_Mean_Score,CE_Sentiment_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Signal,TTS_Explanation,SIV_Signal,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
04/02/2024,0.65186,SELL,BULLISH,False,-0.6338,30.0,BEARISH,0.743,-0.0735,HIGH,pending_explanation,-0.0846,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6338 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.6444
04/03/2024,0.65611,BUY,BULLISH,True,0.5886,18.0,BULLISH,0.816,0.1493,MODERATE,pending_explanation,-0.0286,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.5886 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3707
04/04/2024,0.6587,BUY,BEARISH,False,0.5956,27.0,BULLISH,0.8056,0.1078,HIGH,pending_explanation,-0.011,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.5956 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.8746
04/05/2024,0.6577,SELL,BEARISH,True,-0.6069,29.0,BEARISH,0.7847,-0.2168,HIGH,pending_explanation,-0.0172,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6069 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.4912
04/08/2024,0.66019,SELL,BEARISH,True,-0.5999,29.0,BEARISH,0.7725,-0.0606,HIGH,pending_explanation,0.0002,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.5999 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TP,0.5049
04/09/2024,0.66267,BUY,BEARISH,False,0.6143,20.0,BULLISH,0.8568,0.1637,MODERATE,pending_explanation,0.0358,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6143 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.4738
04/10/2024,0.6513,HOLD,BEARISH,False,-0.0322,15.0,NEUTRAL,0.7871,0.0467,MODERATE,pending_explanation,-0.0804,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.0322 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.281
04/11/2024,0.65365,SELL,BEARISH,True,-0.6248,13.0,BEARISH,0.771,-0.2549,LOW,pending_explanation,-0.062,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6248 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2673
04/12/2024,0.6463,SELL,BEARISH,True,-0.6452,14.0,BEARISH,0.7892,-0.5536,LOW,pending_explanation,-0.1131,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6452 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3021
04/15/2024,0.64407,SELL,BEARISH,True,-0.651,5.0,BEARISH,0.7942,-0.2571,LOW,pending_explanation,-0.1276,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.651 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1032
04/16/2024,0.63997,SELL,BULLISH,False,-0.658,12.0,BEARISH,0.7948,-0.4278,LOW,pending_explanation,-0.1449,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.658 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.2163
04/17/2024,0.64355,SELL,BULLISH,False,-0.6559,14.0,BEARISH,0.8324,-0.0806,LOW,pending_explanation,-0.1397,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6559 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.2429
04/18/2024,0.64201,SELL,BULLISH,False,-0.6622,28.0,BEARISH,0.7864,-0.3463,HIGH,pending_explanation,-0.1554,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.6622 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.5569
04/19/2024,0.6416,HOLD,BULLISH,False,-0.066,8.0,NEUTRAL,0.8424,0.034,LOW,pending_explanation,-0.1649,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.066 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.205
04/22/2024,0.64489,BUY,BULLISH,True,0.5441,14.0,BULLISH,0.8238,0.1874,LOW,pending_explanation,-0.1397,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.5441 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2179
04/23/2024,0.6487,SELL,BULLISH,False,-0.6441,9.0,BEARISH,0.8091,-0.1616,LOW,pending_explanation,-0.1103,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6441 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.1857
04/24/2024,0.64956,BUY,BULLISH,True,0.5581,30.0,BULLISH,0.7875,0.1401,HIGH,pending_explanation,-0.1047,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.5581 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.8777
04/25/2024,0.65176,SELL,BULLISH,False,-0.6244,17.0,BEARISH,0.8502,-0.3254,MODERATE,pending_explanation,-0.061,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6244 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.488
04/26/2024,0.6532,HOLD,BULLISH,False,-0.0209,20.0,NEUTRAL,0.7955,0.0016,MODERATE,pending_explanation,-0.0523,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.0209 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.3382
04/29/2024,0.65654,BUY,BEARISH,False,0.5868,29.0,BULLISH,0.7614,0.1165,HIGH,pending_explanation,-0.0329,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.5868 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.5358
04/30/2024,0.64751,SELL,BULLISH,False,-0.6477,16.0,BEARISH,0.7692,-0.3831,MODERATE,pending_explanation,-0.1193,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6477 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.501
05/01/2024,0.6524,SELL,BULLISH,False,-0.6236,11.0,BEARISH,0.7892,-0.1666,LOW,pending_explanation,-0.059,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6236 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.257
05/02/2024,0.65645,SELL,BULLISH,False,-0.6156,23.0,BEARISH,0.8299,-0.2776,MODERATE,pending_explanation,-0.0391,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6156 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.4818
05/03/2024,0.66084,HOLD,BEARISH,False,-0.0071,33.0,NEUTRAL,0.7939,0.0436,HIGH,pending_explanation,-0.0178,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.0071 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.9822
05/06/2024,0.66236,BUY,BEARISH,False,0.6102,28.0,BULLISH,0.742,0.0867,HIGH,pending_explanation,0.0254,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.6102 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.4899
05/07/2024,0.65966,SELL,BEARISH,True,-0.6076,46.0,BEARISH,0.7802,-0.1871,HIGH,pending_explanation,-0.0189,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6076 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.5809
05/08/2024,0.65798,SELL,BULLISH,False,-0.6102,19.0,BEARISH,0.7805,-0.3995,MODERATE,pending_explanation,-0.0256,HOLD,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.6102 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",SL,0.2929
05/09/2024,0.6619,HOLD,BULLISH,False,-0.002,14.0,NEUTRAL,0.8199,0.0079,LOW,pending_explanation,-0.0049,HOLD,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.002 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.4268
