Date,Price,ATR,Final_Verdict,Market_Reality,Correct,Weighted_Score,Strong_Verdict,Trade_Allowed,Signal_Confidence,CE_Article_Count,CE_Sentiment,CE_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Decision,TTS_Regime,TTS_Explanation,TTS_Breakout_Signal,TTS_Breakout_Strength,TTS_Breakout_High,TTS_Breakout_Low,SIV_Signal,SIV_Multiplier,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
01/24/2023,0.70453,0.008969285714285711,HOLD,BULLISH,False,0.043324749999999995,False,False,0.04807453182384799,10.0,BULLISH,0.0888,0.4,skipped,0.0073,HOLD,TRANSITIONAL,skipped,BREAKOUT_UP,0.065,0.70257,0.6724,PARTIAL,0.95,skipped,"[deterministic] weighted_score=0.0433 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",HOLD_SKIP,0.3347
01/25/2023,0.71026,0.008828571428571432,BUY,BEARISH,False,0.17320874999999997,True,True,0.1452678460375456,29.0,BULLISH,0.284,1.0,skipped,-0.0065,HOLD,TRANSITIONAL,skipped,BREAKOUT_UP,0.1783,0.70453,0.6724,PARTIAL,0.95,skipped,"[deterministic] weighted_score=0.1732 → BUY (thresholds: >=0.1 BUY, <=-0.1 SELL)",TIME,0.7621
01/26/2023,0.71137,0.00810214285714286,SELL,BEARISH,True,-0.16573358,True,True,0.1642188169879131,16.0,BEARISH,-0.2863,0.64,skipped,-0.0421,HOLD,RANGING,skipped,BREAKOUT_UP,0.0293,0.71026,0.6724,PARTIAL,0.95,skipped,"[deterministic] weighted_score=-0.1657 → SELL (thresholds: >=0.1 BUY, <=-0.1 SELL)",TIME,0.4443
01/27/2023,0.71064,0.007905714285714285,SKIP,BEARISH,,0.0,,,,9.0,BEARISH,-0.0884,0.36,skipped,-0.0336,HOLD,RANGING,skipped,NONE,0.0,,,PARTIAL,0.95,skipped,SKIP: weak signals — articles=9 |ce|=0.088 |tts|=0.034,QUALITY_GATE_SKIP,0.2848
01/30/2023,0.70598,0.007912857142857142,SELL,BULLISH,False,-0.11600183999999998,True,True,0.12238505272128616,22.0,BEARISH,-0.2166,0.88,skipped,0.0282,HOLD,RANGING,skipped,NONE,0.0,0.71137,0.6724,PARTIAL,0.95,skipped,"[deterministic] weighted_score=-0.116 → SELL (thresholds: >=0.1 BUY, <=-0.1 SELL)",SL,0.6385
01/31/2023,0.70542,0.008123571428571428,HOLD,BEARISH,False,-0.07801361999999998,True,False,0.0957076908982922,22.0,BEARISH,-0.156,0.88,skipped,0.0354,HOLD,RANGING,skipped,NONE,0.0,0.71137,0.6724,PARTIAL,0.95,skipped,"[deterministic] weighted_score=-0.078 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",HOLD_SKIP,0.6074
02/01/2023,0.7135,0.008117142857142863,SKIP,BEARISH,,0.0,,,,33.0,NEUTRAL,0.0045,1.0,skipped,-0.02,HOLD,RANGING,skipped,NONE,0.0,,,COHERENT,1.0,skipped,SKIP: weak signals — articles=33 |ce|=0.004 |tts|=0.020,QUALITY_GATE_SKIP,0.7417
02/02/2023,0.7076,0.008192857142857144,HOLD,BEARISH,False,0.05124299999999999,False,False,0.053108564051413884,33.0,BULLISH,0.0559,1.0,skipped,0.0503,HOLD,RANGING,skipped,NONE,0.0,0.7135,0.67512,PARTIAL,0.95,skipped,"[deterministic] weighted_score=0.0512 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",HOLD_SKIP,1.0043
02/03/2023,0.69176,0.00881428571428571,HOLD,BULLISH,False,0.09692974999999995,True,False,0.30695,26.0,BULLISH,0.3289,1.0,skipped,-0.285,SELL,RANGING,skipped,NONE,0.0,0.7135,0.68742,PARTIAL,0.85,skipped,"[deterministic] weighted_score=0.0969 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",HOLD_SKIP,0.7732
02/06/2023,0.68815,0.009014285714285706,HOLD,BULLISH,False,0.047400249999999984,False,False,0.08312504761466817,26.0,BULLISH,0.1081,1.0,skipped,-0.0582,HOLD,RANGING,skipped,BREAKOUT_DOWN,0.023,0.7135,0.68872,PARTIAL,0.95,skipped,"[deterministic] weighted_score=0.0474 → HOLD (thresholds: >=0.1 BUY, <=-0.1 SELL)",HOLD_SKIP,0.7767
02/07/2023,0.69579,0.008881428571428564,BUY,BULLISH,True,0.17940749999999994,True,True,0.18449998913337215,30.0,BULLISH,0.318,1.0,skipped,-0.051,HOLD,TRANSITIONAL,skipped,NONE,0.0,0.7135,0.68815,PARTIAL,0.95,skipped,"[deterministic] weighted_score=0.1794 → BUY (thresholds: >=0.1 BUY, <=-0.1 SELL)",TIME,0.9058
02/08/2023,0.69267,0.008909999999999998,BUY,BULLISH,True,0.14251234999999998,True,True,0.17034999006399992,20.0,BULLISH,0.2897,0.8,skipped,-0.051,HOLD,TRANSITIONAL,skipped,NONE,0.0,0.7135,0.68815,PARTIAL,0.95,skipped,"[deterministic] weighted_score=0.1425 → BUY (thresholds: >=0.1 BUY, <=-0.1 SELL)",TIME,0.595
02/09/2023,0.69355,0.00907928571428571,SKIP,BULLISH,,0.0,,,,7.0,BEARISH,-0.3223,0.28,skipped,-0.051,HOLD,TRANSITIONAL,skipped,NONE,0.0,,,PARTIAL,0.95,skipped,SKIP: weak signals — articles=7 |ce|=0.322 |tts|=0.051,QUALITY_GATE_SKIP,0.2257
